names,age,team,position,awards,time
Nic Hill and Scott Linsdell,Elite adults,Phill Hill's Army,1,Phill Hill Trophy,08:04
Greg Nunn and Emma Newcomb,Adults,Snailed It,2,,08:40
TBC,Adults,Flying Tornados 2,3,,09:23
Eddie Copeland and Marcus Bradford,Adults,Uphill Struggle,4,,09:33
Nick and Juan,Adults,Shawarmanders Street Food!,5,,09:46
Naomi Steadman and Ali Green,Elite adults,Trials and error,6,,11:18
Mark Williams and Stuart Flann,Adults,Welchs Transport,7,,13:01
Euan Moffat and Unknown,Adults,BitBox,8,,14:07
Daan Somers and Frank van Gestel,Adults,Double Dutch,9,,15:54
James Walker and Alex Graham,Adults,Flying Tornados 1,10,,20:03
Dave Brown and Ian Brown,Adults,The Plough Tanic,11,Wooden spoon,21:58